_CustomObjectKey,id,HC_Codigo_de_Retorno_de_Erro__c,Descricao_do_Retorno_de_Erro__c
344,a0V6g0000064W9LEAU,AN,Conta Corrente/DV do Favorecido Inválido
345,a0V6g0000064WexEAE,AN,Conta Corrente/DV do Favorecido Inválido
346,a0V6g0000064Wf2EAE,AN,Conta Corrente/DV do Favorecido Inválido
347,a0V6g0000064Wf4EAE,AN,Conta Corrente/DV do Favorecido Inválido
348,a0V6g0000064WfBEAU,AG,Agência/Conta Corrente/DV Inválido
349,a0V6g0000064WfDEAU,AC,Tipo de Serviço Inválido
350,a0V6g0000064WfKEAU,AT,Tipo/Número de Inscrição do Favorecido Inválido
351,a0V6g0000064WfMEAU,AT,Tipo/Número de Inscrição do Favorecido Inválido
352,a0V6g0000062TDCEA2,AN,Conta Corrente/DV do Favorecido Inválido
353,a0V6g0000062TDEEA2,AN,Conta Corrente/DV do Favorecido Inválido
354,a0V6g0000062TDLEA2,AN,Conta Corrente/DV do Favorecido Inválido
355,a0V6g0000062TDNEA2,AN,Conta Corrente/DV do Favorecido Inválido
356,a0V6g0000062TDWEA2,AN,Conta Corrente/DV do Favorecido Inválido
357,a0V6g0000062tejEAA,AL,Código do Banco Favorecido ou Depositário Inválido
358,a0V6g0000062telEAA,AL,Código do Banco Favorecido ou Depositário Inválido
359,a0V6g0000062xhREAQ,AM,Agência Mantenedora da Conta Corrente do Favorecido Inválida
360,a0V6g0000062xIJEAY,AM,Agência Mantenedora da Conta Corrente do Favorecido Inválida
361,a0V6g0000062xITEAY,AN,Conta Corrente/DV do Favorecido Inválido
362,a0V6g0000062xJdEAI,02,Crédito ou Débito Cancelado pelo Pagador/Credor
363,a0V6g0000062xJfEAI,02,Crédito ou Débito Cancelado pelo Pagador/Credor
364,a0V6g0000062XKdEAM,AN,Conta Corrente/DV do Favorecido Inválido
365,a0V6g0000062xkKEAQ,AT,Tipo/Número de Inscrição do Favorecido Inválido
366,a0V6g0000064UyvEAE,AC,Tipo de Serviço Inválido
367,a0V6g0000064UyWEAU,AN,Conta Corrente/DV do Favorecido Inválido
368,a0V6g0000064UyxEAE,AC,Tipo de Serviço Inválido
369,a0V6g0000064UyYEAU,AN,Conta Corrente/DV do Favorecido Inválido
370,a0V6g0000064Uz2EAE,AN,Conta Corrente/DV do Favorecido Inválido
371,a0V6g0000064Uz4EAE,AN,Conta Corrente/DV do Favorecido Inválido
372,a0V6g0000064Uz6EAE,AN,Conta Corrente/DV do Favorecido Inválido
373,a0V6g0000064UzaEAE,AN,Conta Corrente/DV do Favorecido Inválido
374,a0V6g0000064UZaEAM,AN,Conta Corrente/DV do Favorecido Inválido
375,a0V6g0000064UzBEAU,AN,Conta Corrente/DV do Favorecido Inválido
376,a0V6g0000064UzcEAE,AN,Conta Corrente/DV do Favorecido Inválido
377,a0V6g0000064UzDEAU,AN,Conta Corrente/DV do Favorecido Inválido
378,a0V6g0000064UZfEAM,AN,Conta Corrente/DV do Favorecido Inválido
379,a0V6g000006cmlcEAA,AG,Agência/Conta Corrente/DV Inválido
380,a0V6g000006cmleEAA,AG,Agência/Conta Corrente/DV Inválido
381,a0V6g000006cmljEAA,AC,Tipo de Serviço Inválido
382,a0V6g000006cmllEAA,AC,Tipo de Serviço Inválido
383,a0V6g000006cmlsEAA,AN,Conta Corrente/DV do Favorecido Inválido
384,a0V6g000006cmlTEAQ,AG,Agência/Conta Corrente/DV Inválido
385,a0V6g000006cmluEAA,AN,Conta Corrente/DV do Favorecido Inválido
386,a0V6g000006cmlVEAQ,AG,Agência/Conta Corrente/DV Inválido
387,a0V6g000006cmm1EAA,AC,Tipo de Serviço Inválido
388,a0V6g000006cmm3EAA,AC,Tipo de Serviço Inválido
389,a0V6g000006cmndEAA,AC,Tipo de Serviço Inválido
390,a0V6g000006cmnfEAA,AC,Tipo de Serviço Inválido
391,a0V6g000006cmntEAA,AN,Conta Corrente/DV do Favorecido Inválido
392,a0V6g000006comdEAA,AN,Conta Corrente/DV do Favorecido Inválido
393,a0V6g000006comfEAA,AN,Conta Corrente/DV do Favorecido Inválido
394,a0V6g000006commEAA,AN,Conta Corrente/DV do Favorecido Inválido
395,a0V6g000006comoEAA,AN,Conta Corrente/DV do Favorecido Inválido
396,a0V6g000006comPEAQ,02,Crédito ou Débito Cancelado pelo Pagador/Credor
397,a0V6g000006comtEAA,AC,Tipo de Serviço Inválido
398,a0V6g000006comUEAQ,AG,Agência/Conta Corrente/DV Inválido
399,a0V6g000006comvEAA,AC,Tipo de Serviço Inválido
400,a0V6g000006comxEAA,AN,Conta Corrente/DV do Favorecido Inválido
401,a0V6g000006comYEAQ,AN,Conta Corrente/DV do Favorecido Inválido
402,a0V6g000006con2EAA,AN,Conta Corrente/DV do Favorecido Inválido
403,a0V6g000006conaEAA,AN,Conta Corrente/DV do Favorecido Inválido
404,a0V6g000006conBEAQ,AN,Conta Corrente/DV do Favorecido Inválido
405,a0V6g000006concEAA,AN,Conta Corrente/DV do Favorecido Inválido
406,a0V6g000006conDEAQ,AN,Conta Corrente/DV do Favorecido Inválido
407,a0V6g000006conjEAA,AG,Agência/Conta Corrente/DV Inválido
408,a0V6g000006conKEAQ,AN,Conta Corrente/DV do Favorecido Inválido
409,a0V6g000006conlEAA,AG,Agência/Conta Corrente/DV Inválido
410,a0V6g000007O86lEAC,AN,Conta Corrente/DV do Favorecido Inválido
411,a0V6g000007O86mEAC,AG,Agência/Conta Corrente/DV Inválido
412,a0V6g000007O86nEAC,AG,Agência/Conta Corrente/DV Inválido
413,a0V6g000007O86oEAC,AG,Agência/Conta Corrente/DV Inválido
414,a0V6g000007O872EAC,AC,Tipo de Serviço Inválido
415,a0V6g000007O873EAC,AC,Tipo de Serviço Inválido
416,a0V6g000007O874EAC,AN,Conta Corrente/DV do Favorecido Inválido
417,a0V6g000007O875EAC,AN,Conta Corrente/DV do Favorecido Inválido
418,a0V6g000007O87JEAS,AN,Conta Corrente/DV do Favorecido Inválido
419,a0V6g000007O87KEAS,AN,Conta Corrente/DV do Favorecido Inválido
420,a0V6g000007O87LEAS,AN,Conta Corrente/DV do Favorecido Inválido
421,a0V6g000007O87MEAS,AN,Conta Corrente/DV do Favorecido Inválido
422,a0V6g000007O88vEAC,AN,Conta Corrente/DV do Favorecido Inválido
423,a0V6g000007O88wEAC,AN,Conta Corrente/DV do Favorecido Inválido
424,a0V6g000007O88xEAC,AN,Conta Corrente/DV do Favorecido Inválido
425,a0V6g000007O88yEAC,AN,Conta Corrente/DV do Favorecido Inválido
426,a0V6g000007O89BEAS,AN,Conta Corrente/DV do Favorecido Inválido
427,a0V6g000007O89CEAS,AN,Conta Corrente/DV do Favorecido Inválido
428,a0V6g000007O89DEAS,AN,Conta Corrente/DV do Favorecido Inválido
429,a0V6g000007O89EEAS,AN,Conta Corrente/DV do Favorecido Inválido
430,a0V6g000007O89FEAS,AN,Conta Corrente/DV do Favorecido Inválido
431,a0V6g000007O89SEAS,AN,Conta Corrente/DV do Favorecido Inválido
432,a0V6g000007O89TEAS,AN,Conta Corrente/DV do Favorecido Inválido
433,a0V6g000007O89UEAS,AM,Agência Mantenedora da Conta Corrente do Favorecido Inválida
434,a0V6g000007O9tFEAS,AN,Conta Corrente/DV do Favorecido Inválido
435,a0V6g000007O9tGEAS,AN,Conta Corrente/DV do Favorecido Inválido
436,a0V6g000007O9tHEAS,AN,Conta Corrente/DV do Favorecido Inválido
437,a0V6g000007O9tIEAS,AN,Conta Corrente/DV do Favorecido Inválido
438,a0V6g000007O9tmEAC,AN,Conta Corrente/DV do Favorecido Inválido
439,a0V6g000007O9tnEAC,AN,Conta Corrente/DV do Favorecido Inválido
440,a0V6g000007O9toEAC,AN,Conta Corrente/DV do Favorecido Inválido
441,a0V6g000007O9tpEAC,AN,Conta Corrente/DV do Favorecido Inválido
442,a0V6g000007O9tqEAC,AN,Conta Corrente/DV do Favorecido Inválido
443,a0V6g000007O9tWEAS,AN,Conta Corrente/DV do Favorecido Inválido
444,a0V6g000007O9tXEAS,AN,Conta Corrente/DV do Favorecido Inválido
445,a0V6g000007O9tYEAS,AN,Conta Corrente/DV do Favorecido Inválido
446,a0V6g000007O9tZEAS,AN,Conta Corrente/DV do Favorecido Inválido
447,a0V6g000007OBBaEAO,AN,Conta Corrente/DV do Favorecido Inválido
448,a0V6g000007OBBbEAO,AN,Conta Corrente/DV do Favorecido Inválido
449,a0V6g000007OBBcEAO,AN,Conta Corrente/DV do Favorecido Inválido
450,a0V6g000007OBBKEA4,AN,Conta Corrente/DV do Favorecido Inválido
451,a0V6g000007OBBLEA4,AN,Conta Corrente/DV do Favorecido Inválido
452,a0V6g000007OBBMEA4,AN,Conta Corrente/DV do Favorecido Inválido
453,a0V6g000007OBBNEA4,AN,Conta Corrente/DV do Favorecido Inválido
454,a0V6g000007OBBrEAO,AC,Tipo de Serviço Inválido
455,a0V6g000007OBBsEAO,AC,Tipo de Serviço Inválido
456,a0V6g000007OBBtEAO,AC,Tipo de Serviço Inválido
457,a0V6g000007OBBuEAO,AC,Tipo de Serviço Inválido
458,a0V6g000007OBC8EAO,AN,Conta Corrente/DV do Favorecido Inválido
459,a0V6g000007OBC9EAO,AN,Conta Corrente/DV do Favorecido Inválido
460,a0V6g000007OBCAEA4,AN,Conta Corrente/DV do Favorecido Inválido
461,a0V6g000007OBCBEA4,AN,Conta Corrente/DV do Favorecido Inválido
462,a0V6g000007OHv1EAG,AN,Conta Corrente/DV do Favorecido Inválido
463,a0V6g000007OHv2EAG,AN,Conta Corrente/DV do Favorecido Inválido
464,a0V6g000007OHv3EAG,AN,Conta Corrente/DV do Favorecido Inválido
465,a0V6g000007OHvaEAG,AN,Conta Corrente/DV do Favorecido Inválido
466,a0V6g000007OHvbEAG,AN,Conta Corrente/DV do Favorecido Inválido
467,a0V6g000007OHvHEAW,AN,Conta Corrente/DV do Favorecido Inválido
468,a0V6g000007OHvIEAW,AN,Conta Corrente/DV do Favorecido Inválido
469,a0V6g000007OHvJEAW,AN,Conta Corrente/DV do Favorecido Inválido
470,a0V6g000007OHvKEAW,AN,Conta Corrente/DV do Favorecido Inválido
471,a0V6g000007OHvqEAG,AN,Conta Corrente/DV do Favorecido Inválido
472,a0V6g000007OHvYEAW,AN,Conta Corrente/DV do Favorecido Inválido
473,a0V6g000007OHvZEAW,AN,Conta Corrente/DV do Favorecido Inválido
474,a0V6g0000064W8kEAE,AN,Conta Corrente/DV do Favorecido Inválido
475,a0V6g0000064W8lEAE,AN,Conta Corrente/DV do Favorecido Inválido
476,a0V6g0000064W8mEAE,AN,Conta Corrente/DV do Favorecido Inválido
477,a0V6g0000064W8nEAE,AN,Conta Corrente/DV do Favorecido Inválido
478,a0V6g0000064W90EAE,AC,Tipo de Serviço Inválido
479,a0V6g0000064W91EAE,AC,Tipo de Serviço Inválido
480,a0V6g0000064W92EAE,AC,Tipo de Serviço Inválido
481,a0V6g0000064W93EAE,AC,Tipo de Serviço Inválido
482,a0V6g0000064W9HEAU,AN,Conta Corrente/DV do Favorecido Inválido
483,a0V6g0000064W9IEAU,AN,Conta Corrente/DV do Favorecido Inválido
484,a0V6g0000064W9JEAU,AN,Conta Corrente/DV do Favorecido Inválido
485,a0V6g0000064W9KEAU,AN,Conta Corrente/DV do Favorecido Inválido
486,a0V6g0000064WeyEAE,AN,Conta Corrente/DV do Favorecido Inválido
487,a0V6g0000064WezEAE,AN,Conta Corrente/DV do Favorecido Inválido
488,a0V6g0000064Wf0EAE,AN,Conta Corrente/DV do Favorecido Inválido
489,a0V6g0000064Wf1EAE,AN,Conta Corrente/DV do Favorecido Inválido
490,a0V6g0000064WfFEAU,AN,Conta Corrente/DV do Favorecido Inválido
491,a0V6g0000064WfGEAU,AN,Conta Corrente/DV do Favorecido Inválido
492,a0V6g0000064WfHEAU,AN,Conta Corrente/DV do Favorecido Inválido
493,a0V6g0000064WfIEAU,AN,Conta Corrente/DV do Favorecido Inválido
494,a0V6g0000062TDGEA2,AN,Conta Corrente/DV do Favorecido Inválido
495,a0V6g0000062TDHEA2,AN,Conta Corrente/DV do Favorecido Inválido
496,a0V6g0000062TDIEA2,AN,Conta Corrente/DV do Favorecido Inválido
497,a0V6g0000062TDJEA2,AN,Conta Corrente/DV do Favorecido Inválido
498,a0V6g0000062temEAA,AL,Código do Banco Favorecido ou Depositário Inválido
499,a0V6g0000062tenEAA,AL,Código do Banco Favorecido ou Depositário Inválido
500,a0V6g0000062teoEAA,AL,Código do Banco Favorecido ou Depositário Inválido
501,a0V6g0000062xHuEAI,AN,Conta Corrente/DV do Favorecido Inválido
502,a0V6g0000062xJJEAY,AC,Tipo de Serviço Inválido
503,a0V6g0000062xkaEAA,AN,Conta Corrente/DV do Favorecido Inválido
504,a0V6g0000062xkbEAA,AN,Conta Corrente/DV do Favorecido Inválido
505,a0V6g0000064UwiEAE,02,Crédito ou Débito Cancelado pelo Pagador/Credor
506,a0V6g0000064UytEAE,AC,Tipo de Serviço Inválido
507,a0V6g0000064UyZEAU,AN,Conta Corrente/DV do Favorecido Inválido
508,a0V6g0000064Uz7EAE,AT,Tipo/Número de Inscrição do Favorecido Inválido
509,a0V6g0000064Uz8EAE,AN,Conta Corrente/DV do Favorecido Inválido
510,a0V6g0000064Uz9EAE,AN,Conta Corrente/DV do Favorecido Inválido
511,a0V6g0000064UzAEAU,AN,Conta Corrente/DV do Favorecido Inválido
512,a0V6g0000064UzeEAE,AG,Agência/Conta Corrente/DV Inválido
513,a0V6g0000064UzfEAE,AG,Agência/Conta Corrente/DV Inválido
514,a0V6g000006cmlfEAA,AG,Agência/Conta Corrente/DV Inválido
515,a0V6g000006cmlgEAA,AG,Agência/Conta Corrente/DV Inválido
516,a0V6g000006cmlhEAA,AG,Agência/Conta Corrente/DV Inválido
517,a0V6g000006cmliEAA,AG,Agência/Conta Corrente/DV Inválido
518,a0V6g000006cmlOEAQ,AN,Conta Corrente/DV do Favorecido Inválido
519,a0V6g000006cmlPEAQ,AN,Conta Corrente/DV do Favorecido Inválido
520,a0V6g000006cmlQEAQ,AN,Conta Corrente/DV do Favorecido Inválido
521,a0V6g000006cmlREAQ,AN,Conta Corrente/DV do Favorecido Inválido
522,a0V6g000006cmlwEAA,AN,Conta Corrente/DV do Favorecido Inválido
523,a0V6g000006cmlxEAA,AN,Conta Corrente/DV do Favorecido Inválido
524,a0V6g000006cmlzEAA,AG,Agência/Conta Corrente/DV Inválido
525,a0V6g000006cmnaEAA,AC,Tipo de Serviço Inválido
526,a0V6g000006cmnbEAA,AC,Tipo de Serviço Inválido
527,a0V6g000006cmnrEAA,AN,Conta Corrente/DV do Favorecido Inválido
528,a0V6g000006cmnsEAA,AN,Conta Corrente/DV do Favorecido Inválido
529,a0V6g000006cmnZEAQ,AC,Tipo de Serviço Inválido
530,a0V6g000006comhEAA,AN,Conta Corrente/DV do Favorecido Inválido
531,a0V6g000006comiEAA,AN,Conta Corrente/DV do Favorecido Inválido
532,a0V6g000006comjEAA,AN,Conta Corrente/DV do Favorecido Inválido
533,a0V6g000006comkEAA,AN,Conta Corrente/DV do Favorecido Inválido
534,a0V6g000006comQEAQ,AG,Agência/Conta Corrente/DV Inválido
535,a0V6g000006comREAQ,AG,Agência/Conta Corrente/DV Inválido
536,a0V6g000006comSEAQ,AG,Agência/Conta Corrente/DV Inválido
537,a0V6g000006comTEAQ,AG,Agência/Conta Corrente/DV Inválido
538,a0V6g000006comyEAA,AN,Conta Corrente/DV do Favorecido Inválido
539,a0V6g000006comzEAA,AN,Conta Corrente/DV do Favorecido Inválido
540,a0V6g000006con0EAA,AN,Conta Corrente/DV do Favorecido Inválido
541,a0V6g000006con1EAA,AN,Conta Corrente/DV do Favorecido Inválido
542,a0V6g000006conEEAQ,AN,Conta Corrente/DV do Favorecido Inválido
543,a0V6g000006conFEAQ,AN,Conta Corrente/DV do Favorecido Inválido
544,a0V6g000006conGEAQ,AN,Conta Corrente/DV do Favorecido Inválido
545,a0V6g000006conHEAQ,AN,Conta Corrente/DV do Favorecido Inválido
546,a0V6g0000062mitEAA,AL,Código do Banco Favorecido ou Depositário Inválido
547,a0V6g0000062mJmEAI,AM,Agência Mantenedora da Conta Corrente do Favorecido Inválida
548,a0V6g0000062mkIEAQ,AC,Tipo de Serviço Inválido
549,a0V6g0000062mlCEAQ,AL,Código do Banco Favorecido ou Depositário Inválido
550,a0V6g0000062oukEAA,AN,Conta Corrente/DV do Favorecido Inválido
551,a0V6g0000062oumEAA,AN,Conta Corrente/DV do Favorecido Inválido
552,a0V6g0000062ouoEAA,AN,Conta Corrente/DV do Favorecido Inválido
553,a0V6g0000062ouXEAQ,AN,Conta Corrente/DV do Favorecido Inválido
554,a0V6g0000062oW0EAI,AM,Agência Mantenedora da Conta Corrente do Favorecido Inválida
555,a0V6g0000062owMEAQ,AG,Agência/Conta Corrente/DV Inválido
556,a0V6g0000062oXgEAI,02,Crédito ou Débito Cancelado pelo Pagador/Credor
557,a0V6g0000062oXkEAI,02,Crédito ou Débito Cancelado pelo Pagador/Credor
558,a0V6g0000062oxnEAA,AG,Agência/Conta Corrente/DV Inválido
559,a0V6g0000062oxpEAA,AC,Tipo de Serviço Inválido
560,a0V6g0000062oxSEAQ,AT,Tipo/Número de Inscrição do Favorecido Inválido
561,a0V6g0000062oxUEAQ,AT,Tipo/Número de Inscrição do Favorecido Inválido
562,a0V6g0000062oY8EAI,AN,Conta Corrente/DV do Favorecido Inválido
563,a0V6g0000062oykEAA,AN,Conta Corrente/DV do Favorecido Inválido
564,a0V6g0000062p0SEAQ,AN,Conta Corrente/DV do Favorecido Inválido
565,a0V6g0000062p2BEAQ,AM,Agência Mantenedora da Conta Corrente do Favorecido Inválida
566,a0V6g0000062p6JEAQ,AL,Código do Banco Favorecido ou Depositário Inválido
567,a0V6g0000062QywEAE,02,Crédito ou Débito Cancelado pelo Pagador/Credor
568,a0V6g0000062QyyEAE,02,Crédito ou Débito Cancelado pelo Pagador/Credor
569,a0V6g0000062qzCEAQ,AM,Agência Mantenedora da Conta Corrente do Favorecido Inválida
570,a0V6g0000062qzNEAQ,AT,Tipo/Número de Inscrição do Favorecido Inválido
571,a0V6g0000062r0yEAA,AG,Agência/Conta Corrente/DV Inválido
572,a0V6g0000062r49EAA,AN,Conta Corrente/DV do Favorecido Inválido
573,a0V6g0000062r8aEAA,AM,Agência Mantenedora da Conta Corrente do Favorecido Inválida
574,a0V6g0000062r8cEAA,AG,Agência/Conta Corrente/DV Inválido
575,a0V6g0000062ra3EAA,AN,Conta Corrente/DV do Favorecido Inválido
576,a0V6g0000062rajEAA,AN,Conta Corrente/DV do Favorecido Inválido
577,a0V6g0000062rbCEAQ,AG,Agência/Conta Corrente/DV Inválido
578,a0V6g0000062rbEEAQ,AN,Conta Corrente/DV do Favorecido Inválido
579,a0V6g0000062tgMEAQ,AN,Conta Corrente/DV do Favorecido Inválido
580,a0V6g0000062tgtEAA,AN,Conta Corrente/DV do Favorecido Inválido
581,a0V6g0000062tgUEAQ,AN,Conta Corrente/DV do Favorecido Inválido
582,a0V6g0000062tjbEAA,AG,Agência/Conta Corrente/DV Inválido
583,a0V6g0000062tjdEAA,AG,Agência/Conta Corrente/DV Inválido
584,a0V6g0000062tjiEAA,AG,Agência/Conta Corrente/DV Inválido
585,a0V6g0000062tJJEAY,AN,Conta Corrente/DV do Favorecido Inválido
586,a0V6g0000062tjkEAA,AG,Agência/Conta Corrente/DV Inválido
587,a0V6g0000062tkoEAA,AG,Agência/Conta Corrente/DV Inválido
588,a0V6g0000062tlhEAA,AM,Agência Mantenedora da Conta Corrente do Favorecido Inválida
589,a0V6g0000062tLNEAY,AN,Conta Corrente/DV do Favorecido Inválido
590,a0V6g0000062TmaEAE,AC,Tipo de Serviço Inválido
591,a0V6g0000062TmcEAE,AC,Tipo de Serviço Inválido
592,a0V6g0000062TmsEAE,AN,Conta Corrente/DV do Favorecido Inválido
593,a0V6g0000062TmuEAE,AN,Conta Corrente/DV do Favorecido Inválido
594,a0V6g0000062TmzEAE,AN,Conta Corrente/DV do Favorecido Inválido
595,a0V6g0000062Tn3EAE,AG,Agência/Conta Corrente/DV Inválido
596,a0V6g0000062tN5EAI,AN,Conta Corrente/DV do Favorecido Inválido
597,a0V6g0000062TnHEAU,AN,Conta Corrente/DV do Favorecido Inválido
598,a0V6g0000062TnJEAU,AN,Conta Corrente/DV do Favorecido Inválido
599,a0V6g0000062TnOEAU,AN,Conta Corrente/DV do Favorecido Inválido
600,a0V6g0000062TnQEAU,AN,Conta Corrente/DV do Favorecido Inválido
601,a0V6g0000062TnSEAU,AC,Tipo de Serviço Inválido
602,a0V6g0000062tOIEAY,AN,Conta Corrente/DV do Favorecido Inválido
603,a0V6g0000062uX4EAI,AN,Conta Corrente/DV do Favorecido Inválido
604,a0V6g0000062uxeEAA,AN,Conta Corrente/DV do Favorecido Inválido
605,a0V6g0000062uY6EAI,AN,Conta Corrente/DV do Favorecido Inválido
606,a0V6g0000062v0qEAA,AC,Tipo de Serviço Inválido
607,a0V6g0000062v0tEAA,AC,Tipo de Serviço Inválido
608,a0V6g0000062v1ZEAQ,AC,Tipo de Serviço Inválido
609,a0V6g0000062WENEA2,AL,Código do Banco Favorecido ou Depositário Inválido
610,a0V6g0000062wEQEAY,02,Crédito ou Débito Cancelado pelo Pagador/Credor
611,a0V6g0000062WFhEAM,AN,Conta Corrente/DV do Favorecido Inválido
612,a0V6g0000062WFREA2,02,Crédito ou Débito Cancelado pelo Pagador/Credor
613,a0V6g0000062wfzEAA,AT,Tipo/Número de Inscrição do Favorecido Inválido
614,a0V6g0000062wg1EAA,AT,Tipo/Número de Inscrição do Favorecido Inválido
615,a0V6g0000062wg9EAA,AC,Tipo de Serviço Inválido
616,a0V6g0000062wgeEAA,AM,Agência Mantenedora da Conta Corrente do Favorecido Inválida
617,a0V6g0000062wgjEAA,AN,Conta Corrente/DV do Favorecido Inválido
618,a0V6g0000062wGMEAY,AN,Conta Corrente/DV do Favorecido Inválido
619,a0V6g0000062wGVEAY,AN,Conta Corrente/DV do Favorecido Inválido
620,a0V6g0000062wH0EAI,AG,Agência/Conta Corrente/DV Inválido
621,a0V6g0000062whnEAA,AG,Agência/Conta Corrente/DV Inválido
622,a0V6g0000062wHrEAI,AN,Conta Corrente/DV do Favorecido Inválido
623,a0V6g0000062whsEAA,AG,Agência/Conta Corrente/DV Inválido
624,a0V6g0000062wIFEAY,02,Crédito ou Débito Cancelado pelo Pagador/Credor
625,a0V6g0000062xMWEAY,AN,Conta Corrente/DV do Favorecido Inválido
626,a0V6g0000062xmxEAA,AT,Tipo/Número de Inscrição do Favorecido Inválido
627,a0V6g0000062xmzEAA,AT,Tipo/Número de Inscrição do Favorecido Inválido
628,a0V6g0000062xn1EAA,AT,Tipo/Número de Inscrição do Favorecido Inválido
629,a0V6g0000062xn6EAA,AT,Tipo/Número de Inscrição do Favorecido Inválido
630,a0V6g0000062xoJEAQ,AG,Agência/Conta Corrente/DV Inválido
631,a0V6g0000062xoLEAQ,AG,Agência/Conta Corrente/DV Inválido
632,a0V6g0000062xoSEAQ,AN,Conta Corrente/DV do Favorecido Inválido
633,a0V6g0000062xPsEAI,AN,Conta Corrente/DV do Favorecido Inválido
634,a0V6g0000062xpSEAQ,AG,Agência/Conta Corrente/DV Inválido
635,a0V6g0000062xQ4EAI,AG,Agência/Conta Corrente/DV Inválido
636,a0V6g0000062XR4EAM,AN,Conta Corrente/DV do Favorecido Inválido
637,a0V6g0000062xr5EAA,AN,Conta Corrente/DV do Favorecido Inválido
638,a0V6g0000062xRBEAY,AN,Conta Corrente/DV do Favorecido Inválido
639,a0V6g0000062xrJEAQ,AT,Tipo/Número de Inscrição do Favorecido Inválido
640,a0V6g0000062xrLEAQ,AT,Tipo/Número de Inscrição do Favorecido Inválido
641,a0V6g0000062yQCEAY,AG,Agência/Conta Corrente/DV Inválido
642,a0V6g0000062yqMEAQ,AN,Conta Corrente/DV do Favorecido Inválido
643,a0V6g0000062yRgEAI,AN,Conta Corrente/DV do Favorecido Inválido
644,a0V6g0000062yRKEAY,AG,Agência/Conta Corrente/DV Inválido
645,a0V6g0000062yRMEAY,AG,Agência/Conta Corrente/DV Inválido
646,a0V6g0000062ysDEAQ,AG,Agência/Conta Corrente/DV Inválido
647,a0V6g0000062ysEEAQ,AG,Agência/Conta Corrente/DV Inválido
648,a0V6g0000062yTTEAY,AG,Agência/Conta Corrente/DV Inválido
649,a0V6g0000062yU5EAI,AN,Conta Corrente/DV do Favorecido Inválido
650,a0V6g0000062yufEAA,AG,Agência/Conta Corrente/DV Inválido
651,a0V6g0000062yuhEAA,AG,Agência/Conta Corrente/DV Inválido
652,a0V6g0000062yuNEAQ,AG,Agência/Conta Corrente/DV Inválido
653,a0V6g0000063cRtEAI,02,Crédito ou Débito Cancelado pelo Pagador/Credor
654,a0V6g0000063cRvEAI,02,Crédito ou Débito Cancelado pelo Pagador/Credor
655,a0V6g0000063en8EAA,AN,Conta Corrente/DV do Favorecido Inválido
656,a0V6g0000063enFEAQ,AG,Agência/Conta Corrente/DV Inválido
657,a0V6g0000063enHEAQ,AN,Conta Corrente/DV do Favorecido Inválido
658,a0V6g0000063ik2EAA,AN,Conta Corrente/DV do Favorecido Inválido
659,a0V6g0000063ik9EAA,AN,Conta Corrente/DV do Favorecido Inválido
660,a0V6g0000063ikaEAA,AN,Conta Corrente/DV do Favorecido Inválido
661,a0V6g0000063ikBEAQ,AN,Conta Corrente/DV do Favorecido Inválido
662,a0V6g0000063ikhEAA,AG,Agência/Conta Corrente/DV Inválido
663,a0V6g0000063ikIEAQ,AN,Conta Corrente/DV do Favorecido Inválido
664,a0V6g0000063ikjEAA,AG,Agência/Conta Corrente/DV Inválido
665,a0V6g0000063ikKEAQ,AN,Conta Corrente/DV do Favorecido Inválido
666,a0V6g0000063ikPEAQ,AN,Conta Corrente/DV do Favorecido Inválido
667,a0V6g0000063ikREAQ,AN,Conta Corrente/DV do Favorecido Inválido
668,a0V6g0000063jbVEAQ,AC,Tipo de Serviço Inválido
669,a0V6g0000063jbXEAQ,AN,Conta Corrente/DV do Favorecido Inválido
670,a0V6g0000063jthEAA,AN,Conta Corrente/DV do Favorecido Inválido
671,a0V6g0000063jtjEAA,AN,Conta Corrente/DV do Favorecido Inválido
672,a0V6g0000063jtqEAA,AN,Conta Corrente/DV do Favorecido Inválido
673,a0V6g0000063jtsEAA,AN,Conta Corrente/DV do Favorecido Inválido
674,a0V6g0000063kd2EAA,02,Crédito ou Débito Cancelado pelo Pagador/Credor
675,a0V6g0000063kd9EAA,AN,Conta Corrente/DV do Favorecido Inválido
676,a0V6g0000063kdaEAA,AN,Conta Corrente/DV do Favorecido Inválido
677,a0V6g0000063kdBEAQ,AN,Conta Corrente/DV do Favorecido Inválido
678,a0V6g0000063kdfEAA,AN,Conta Corrente/DV do Favorecido Inválido
679,a0V6g0000063kdGEAQ,AN,Conta Corrente/DV do Favorecido Inválido
680,a0V6g000007O6VXEA0,AN,Conta Corrente/DV do Favorecido Inválido
681,a0V6g000007O6VZEA0,AN,Conta Corrente/DV do Favorecido Inválido
682,a0V6g000007O86iEAC,AN,Conta Corrente/DV do Favorecido Inválido
683,a0V6g000007O86kEAC,AN,Conta Corrente/DV do Favorecido Inválido
684,a0V6g000007O86pEAC,AG,Agência/Conta Corrente/DV Inválido
685,a0V6g000007O86rEAC,AG,Agência/Conta Corrente/DV Inválido
686,a0V6g000007O86yEAC,AC,Tipo de Serviço Inválido
687,a0V6g000007O870EAC,AC,Tipo de Serviço Inválido
688,a0V6g000007O877EAC,AN,Conta Corrente/DV do Favorecido Inválido
689,a0V6g000007O879EAC,AN,Conta Corrente/DV do Favorecido Inválido
